l	N	T	j	eps
0.00	586549	10.00	58654.90	0.0013
0.00	592023	10.00	59202.30	0.0013
0.00	580744	10.00	58074.40	0.0013
0.00	288045	5.00	57609.00	0.0019
0.00	286718	5.00	57343.60	0.0019
0.00	57102	1.00	57102.00	0.0042
0.00	56531	1.00	56531.00	0.0042
